id,niveau,matieres_preferees,mathematiques,physique,chimie,informatique,francais,anglais,biologie,economie,gestion,histoire_geographie,droit,technique,competences,centres_interet,activites_projets,preferences_professionnelles,environnement_travail,parcours_recommande
158,Baccalauréat Technique,Informatique;Mathématiques;Économie,16.08,0,0,15.99,10.04,14.17,8.16,13.0,13.18,0,10.39,0,Traitement des données;Analyse économique;Python,Finance,Projet d'analyse statistique;Analyse de données économiques,Data Scientist;Chercheur,Bureau;Laboratoire;Travail individuel;Terrain,ISAIA
159,Bac+3,Économie;Mathématiques,16.08,11.75,14.41,16.23,0,9.99,12.55,17.43,0,0,11.72,0,Traitement des données;Analyse statistique,Informatique;Business;Intelligence artificielle;Droit,Analyse d'un jeu de données;Analyse de données économiques,Chercheur;Ingénieur,Travail individuel;Laboratoire,ISAIA
160,Baccalauréat Technique,Mathématiques;Économie;Anglais;Chimie,12.68,8.11,0,14.58,0,0,0,15.48,0,0,0,0,Python;Analyse économique;Biotechnologie,Informatique,Analyse d'un jeu de données,Ingénieur,Travail individuel;Bureau;Laboratoire,ISAIA
161,Bac+2,Gestion;Histoire-Géographie,0,0,11.88,11.6,12.78,16.74,8.82,17.03,14.72,16.76,0,11.2,Techniques de vente;Communication;Gestion commerciale,Tourisme;Communication,Projet de création d'entreprise;Création d'une campagne publicitaire,Manager,Entreprise;Travail en équipe;Bureau;Laboratoire,CAA
162,Baccalauréat C,Gestion;Économie;Informatique;Anglais,0,0,0,0,18.55,14.22,0,15.54,17.2,11.9,0,11.86,Marketing;Industrie chimique,Communication,Création d'une campagne publicitaire;Organisation d'une petite vente,Commercial,Entreprise;Bureau;Télétravail,CAA
163,Baccalauréat Technique,Économie;Gestion,9.79,10.72,8.37,0,12.29,16.46,0,18.41,14.68,15.55,12.88,0,Communication,Tourisme;Droit,Organisation d'une petite vente;Création d'une campagne publicitaire,Entrepreneur;Commercial;Développeur logiciel,Bureau;Travail en équipe,CAA
164,Baccalauréat C,Français;Anglais;Gestion;Chimie;Physique,13.72,13.04,14.03,0,15.34,16.7,0,18.03,18.34,16.12,0,0,Communication,Business;Communication;Agriculture,Projet de création d'entreprise;Projet personnel,Manager;Entrepreneur,Travail en équipe;Entreprise;Bureau,CAA
165,Bac+3,Histoire-Géographie;Anglais;Économie;Informatique;Droit,0,0,0,9.58,11.98,15.27,0,15.22,12.12,15.66,0,8.22,Gestion commerciale;Communication;Marketing,Business;Tourisme;Communication,Organisation d'une petite vente;Projet de création d'entreprise,Manager,Bureau;Entreprise;Travail en équipe,CAA
166,Baccalauréat S,Histoire-Géographie;Anglais;Gestion;Économie;Chimie;Biologie,13.9,12.13,14.23,0,12.79,12.89,9.04,11.64,15.87,16.86,0,0,Techniques de vente;Marketing;Gestion commerciale,Business;Tourisme,Projet de création d'entreprise;Création d'une campagne publicitaire;Projet personnel,Entrepreneur,Bureau;Travail en équipe,CAA
167,Bac+1,Histoire-Géographie;Gestion;Technique,12.18,10.44,10.35,9.14,16.6,16.99,9.46,14.45,13.59,12.43,11.62,11.02,Marketing;Communication;Techniques de vente,Communication;Business;Tourisme;Santé,Organisation d'une petite vente;Création d'une campagne publicitaire,Entrepreneur,Entreprise;Bureau;Travail en équipe,CAA
168,Baccalauréat D,Économie;Français;Histoire-Géographie;Gestion;Mathématiques;Anglais,0,0,0,13.27,17.52,12.58,0,17.64,12.91,14.57,0,0,Techniques de vente;Communication,Communication;Tourisme;Business;Droit,Création d'une campagne publicitaire;Participation à une association,Commercial,Travail en équipe;Bureau;Laboratoire,CAA
169,Bac+3,Français;Économie;Chimie,10.59,14.62,9.62,0,15.73,16.25,8.49,14.62,14.74,15.39,15.71,0,Marketing,Communication;Business,Organisation d'une petite vente,Commercial,Travail en équipe;Entreprise;Travail individuel,CAA
170,Baccalauréat C,Économie;Anglais;Français;Histoire-Géographie,0,0,0,10.81,16.43,13.27,0,14.73,12.93,13.34,11.46,0,Gestion commerciale;Techniques de vente;Technologies numériques,Communication;Tourisme;Business,Création d'une campagne publicitaire;Organisation d'une petite vente,Commercial;Entrepreneur,Travail en équipe,CAA
171,Baccalauréat C,Anglais;Gestion;Économie;Histoire-Géographie,0,0,0,8.25,18.01,15.62,0,16.58,14.52,14.22,0,0,Communication;Techniques de vente,Tourisme;Communication;Technologie,Projet de création d'entreprise;Organisation d'une petite vente,Manager;Commercial,Travail en équipe;Bureau;Entreprise;Travail individuel,CAA
172,Baccalauréat S,Histoire-Géographie;Gestion;Français,0,0,0,0,10.97,11.56,0,13.72,15.56,18.53,0,0,Techniques de vente;Communication,Tourisme;Business;Communication,Création d'une campagne publicitaire;Organisation d'une petite vente,Manager;Entrepreneur,Travail en équipe,CAA
173,Baccalauréat C,Histoire-Géographie;Gestion;Anglais,15.04,0,0,13.52,19.87,12.66,13.0,12.11,13.73,19.39,11.79,0,Gestion commerciale,Business,Organisation d'une petite vente;Création d'une campagne publicitaire,Commercial,Entreprise;Bureau,CAA
174,Baccalauréat Technique,Français;Économie;Gestion,13.42,0,11.05,14.02,14.1,14.01,14.36,18.07,16.26,16.74,9.54,12.76,Marketing,Tourisme,Création d'une campagne publicitaire;Projet de création d'entreprise,Commercial;Entrepreneur;Agronome,Bureau,CAA
175,Baccalauréat D,Économie;Histoire-Géographie;Gestion;Français;Biologie,15.76,0,0,9.9,17.43,11.87,0,14.75,11.26,15.97,0,0,Gestion commerciale;Techniques de vente;Marketing,Business,Création d'une campagne publicitaire,Entrepreneur,Entreprise,CAA
176,Bac+2,Économie;Gestion;Français,8.59,8.92,9.56,0,14.79,11.07,15.08,15.84,14.13,13.92,0,13.42,Communication;Marketing,Communication;Business,Projet de création d'entreprise;Organisation d'une petite vente,Entrepreneur;Commercial;Chercheur,Bureau,CAA
177,Baccalauréat Technique,Économie;Gestion;Histoire-Géographie,0,0,0,9.19,14.32,12.25,0,15.7,17.89,17.51,11.1,0,Gestion commerciale;Marketing;Techniques de vente;Technologies alimentaires,Tourisme;Communication,Création d'une campagne publicitaire;Projet de création d'entreprise,Commercial,Entreprise,CAA
178,Bac+3,Économie;Gestion,0,0,12.4,8.67,14.25,15.6,0,14.66,16.07,13.62,9.87,0,Communication;Marketing,Tourisme;Business;Communication,Organisation d'une petite vente;Projet scolaire,Manager;Data Scientist,Entreprise;Travail en équipe;Bureau,CAA
179,Bac+2,Histoire-Géographie;Économie;Français;Anglais;Droit,0,0,0,13.23,20,16.22,0,12.31,16.01,16.48,8.69,0,Techniques de vente;Communication,Business;Communication;Tourisme,Création d'une campagne publicitaire,Manager,Entreprise;Bureau,CAA
180,Baccalauréat Technique,Histoire-Géographie;Économie;Anglais,0,9.11,0,0,17.01,18.06,11.05,15.98,14.46,16.3,0,9.37,Marketing;Communication;Techniques de vente;Automatisation,Communication,Création d'une campagne publicitaire,Manager;Ingénieur,Bureau,CAA
181,Bac+2,Anglais;Français;Gestion,0,15.64,0,9.65,15.79,15.57,0,15.79,15.35,10.69,11.19,0,Gestion commerciale;Techniques de vente;Marketing,Business;Tourisme;Communication,Création d'une campagne publicitaire;Projet de création d'entreprise,Manager,Travail en équipe;Entreprise;Bureau,CAA
182,Baccalauréat D,Histoire-Géographie;Français,14.96,13.02,15.33,0,15.31,17.43,0,16.32,14.08,13.99,12.05,0,Techniques de vente,Communication;Business;Tourisme;Informatique,Projet de création d'entreprise,Entrepreneur;Manager,Bureau,CAA
183,Bac+2,Gestion;Anglais;Histoire-Géographie;Économie,8.14,10.35,0,8.62,17.63,12.53,8.28,15.02,17.94,17.75,0,0,Gestion commerciale;Marketing;Accueil,Communication,Création d'une campagne publicitaire,Commercial;Agronome,Entreprise,CAA
184,Bac+2,Français;Anglais;Histoire-Géographie;Économie,12.1,0,13.01,0,17.38,13.61,10.59,13.03,11.03,14.28,12.99,15.08,Gestion commerciale;Techniques de vente,Tourisme,Création d'une campagne publicitaire,Entrepreneur;Manager,Bureau;Entreprise;Travail en équipe,CAA
185,Bac+2,Gestion;Français;Anglais;Droit;Histoire-Géographie,0,0,0,0,10.18,15.11,11.43,11.82,13.07,12.9,0,13.8,Gestion commerciale;Communication;Python,Tourisme,Projet de création d'entreprise;Création d'une campagne publicitaire,Entrepreneur,Bureau,CAA
186,Baccalauréat D,Anglais;Gestion,13.04,11.93,0,15.94,16.19,13.51,0,13.51,14.66,11.87,12.85,12.61,Marketing;Techniques de vente;Gestion commerciale;Gestion d'exploitation,Communication;Business,Projet de création d'entreprise;Création d'une campagne publicitaire,Commercial;Manager,Entreprise,CAA
187,Baccalauréat C,Anglais;Économie;Histoire-Géographie;Gestion;Droit,0,0,13.72,15.33,13.9,16.07,11.33,15.71,13.69,16.25,0,0,Techniques de vente,Business,Projet de création d'entreprise;Création d'une campagne publicitaire,Entrepreneur;Manager,Entreprise;Travail en équipe;Bureau,CAA
188,Bac+1,Français;Anglais;Gestion,0,9.98,0,0,11.49,13.76,13.65,16.21,19.4,12.92,0,0,Techniques de vente;Gestion commerciale;Marketing,Business;Tourisme;Communication,Projet de création d'entreprise;Organisation d'une petite vente,Entrepreneur;Manager;Chercheur,Bureau;Travail en équipe;Terrain,CAA
189,Bac+3,Économie;Gestion;Français,0,9.46,0,0,15.72,11.18,0,15.62,15.27,17.65,10.35,10.21,Communication;Gestion commerciale;Maintenance industrielle,Business;Tourisme;Communication,Projet de création d'entreprise,Commercial,Entreprise,CAA
190,Baccalauréat Technique,Gestion;Histoire-Géographie;Anglais,13.45,10.52,10.89,12.89,19.78,14.85,0,16.17,15.67,13.13,0,0,Gestion commerciale,Tourisme;Communication;Business,Projet de création d'entreprise,Commercial;Manager,Entreprise;Travail en équipe;Bureau,CAA
191,Baccalauréat S,Histoire-Géographie;Français;Anglais;Économie,0,0,0,0,12.33,16.85,0,18.79,14.44,13.38,0,0,Marketing;Techniques de vente,Tourisme;Business;Droit,Organisation d'une petite vente,Commercial,Entreprise;Travail en équipe,CAA
192,Bac+1,Gestion;Français;Économie;Histoire-Géographie,0,0,0,9.79,17.61,11.93,0,17.72,17.46,17.76,10.07,8.89,Marketing;Gestion commerciale,Communication;Business;Tourisme,Création d'une campagne publicitaire;Projet personnel,Manager,Entreprise;Bureau,CAA
193,Bac+1,Anglais;Français;Histoire-Géographie;Gestion,0,15.54,0,0,15.44,13.87,0,16.91,16.31,15.23,0,0,Techniques de vente;Gestion d'exploitation,Communication;Environnement,Projet de création d'entreprise,Manager,Travail en équipe;Bureau,CAA
194,Baccalauréat C,Économie;Gestion;Histoire-Géographie,11.13,13.81,15.38,0,13.73,15.5,0,14.53,14.77,15.45,0,0,Marketing,Tourisme,Projet de création d'entreprise;Organisation d'une petite vente,Manager,Travail en équipe;Bureau,CAA
195,Baccalauréat C,Gestion;Anglais;Français;Économie;Histoire-Géographie,0,0,8.27,11.91,18.42,15.61,0,17.74,18.56,15.14,0,8.96,Communication,Tourisme;Business;Communication,Création d'une campagne publicitaire;Organisation d'une petite vente,Manager,Travail en équipe;Entreprise;Bureau,CAA
196,Bac+2,Français;Anglais;Gestion,12.45,0,0,0,15.74,17.84,14.02,19.83,13.78,13.58,0,9.03,Marketing;Communication touristique,Business,Création d'une campagne publicitaire;Organisation d'une petite vente,Commercial,Entreprise;Travail en équipe;Bureau,CAA
197,Bac+1,Histoire-Géographie;Économie;Gestion,8.79,0,9.5,14.66,18.45,12.91,12.98,11.59,16.36,12.77,11.4,0,Marketing;Communication;Techniques de vente,Tourisme;Business;Communication,Création d'une campagne publicitaire,Manager;Entrepreneur;Technicien,Bureau,CAA
198,Baccalauréat D,Histoire-Géographie;Gestion;Physique;Anglais,0,0,14.38,8.78,16.88,19.23,12.21,17.9,15.27,14.67,10.17,8.38,Techniques de vente;Communication,Tourisme;Communication;Business,Organisation d'une petite vente;Projet de création d'entreprise,Manager,Bureau;Entreprise,CAA
199,Bac+2,Histoire-Géographie;Gestion;Économie;Anglais;Technique,0,11.42,0,0,16.26,19.41,10.5,10.9,18.63,11.25,0,0,Communication;Marketing,Business;Communication;Tourisme,Création d'une campagne publicitaire;Projet scolaire,Entrepreneur,Travail en équipe;Entreprise;Bureau,CAA
200,Baccalauréat Technique,Histoire-Géographie;Français;Économie;Anglais,0,0,0,8.6,17.35,17.62,10.99,14.79,13.92,15.13,10.35,13.9,Techniques de vente;Communication;Marketing,Tourisme;Business;Communication,Organisation d'une petite vente;Création d'une campagne publicitaire;Participation à une association,Manager;Entrepreneur;Data Scientist,Bureau;Entreprise;Travail en équipe;Travail individuel,CAA
201,Baccalauréat C,Mathématiques;Économie,11.48,0,13.25,11.16,13.72,14.49,11.51,15.76,14.08,14.96,9.52,11.16,Gestion financière;Comptabilité;Organisation,Business;Finance,Analyse des dépenses d'une entreprise;Gestion d'un budget familial,Entrepreneur;Manager;Architecte,Bureau;Travail individuel,FIC
202,Baccalauréat Technique,Français;Mathématiques;Gestion;Économie,16.38,11.89,0,9.22,14.19,0,0,17.08,15.82,0,0,0,Analyse financière;Comptabilité;Gestion financière;Analyse économique,Finance;Business,Création d'un tableau financier;Projet scolaire,Comptable,Entreprise;Bureau;Travail individuel,FIC
203,Baccalauréat C,Gestion;Économie,12.88,11.34,8.38,8.42,15.42,0,0,11.44,17.33,8.78,12.41,0,Gestion financière;Organisation,Finance;Business;Santé,Gestion d'un budget familial;Projet personnel,Comptable,Bureau;Travail individuel;Entreprise,FIC
204,Bac+1,Économie;Français;Gestion;Mathématiques,11.5,13.69,0,0,17.6,10.93,0,12.67,15.25,0,0,10.19,Gestion financière;Organisation,Finance,Création d'un tableau financier;Gestion d'un budget familial;Projet personnel,Entrepreneur;Manager,Bureau;Travail individuel;Environnement industriel,FIC
205,Baccalauréat S,Mathématiques;Économie;Français;Gestion,12.99,9.79,0,13.12,16.9,14.99,15.84,16.88,13.62,0,0,15.57,Gestion financière;Organisation;Comptabilité,Business;Finance,Création d'un tableau financier,Comptable;Manager,Travail individuel;Bureau;Entreprise,FIC
206,Baccalauréat S,Français;Gestion;Mathématiques;Économie;Droit;Chimie,15.96,9.19,0,0,16.43,12.56,0,12.35,15.84,0,0,9.15,Analyse financière;Organisation,Finance;Business,Analyse des dépenses d'une entreprise;Participation à une association,Comptable,Bureau;Travail individuel;Entreprise,FIC
207,Baccalauréat S,Mathématiques;Gestion,13.95,13.66,11.84,0,13.4,9.24,13.54,14.32,15.41,12.09,0,15.3,Analyse financière,Business,Analyse des dépenses d'une entreprise,Manager;Architecte,Bureau,FIC
208,Baccalauréat S,Mathématiques;Économie;Français,18.09,12.24,0,0,13.9,14.54,8.83,18.48,19.25,0,8.02,0,Analyse financière,Business;Finance,Analyse des dépenses d'une entreprise,Comptable;Entrepreneur,Bureau,FIC
209,Baccalauréat C,Gestion;Français;Économie,16.05,14.42,0,11.35,15.38,0,0,14.92,15.13,0,0,0,Gestion financière;Électromécanique,Business,Gestion d'un budget familial;Participation à une association,Comptable;Manager,Entreprise;Bureau;Travail individuel,FIC
210,Baccalauréat Technique,Français;Mathématiques;Économie;Gestion,16.09,8.85,0,0,14.28,9.13,8.1,16.86,16.71,12.22,0,0,Gestion financière;Analyse financière;Comptabilité;Architecture des ordinateurs,Finance,Analyse des dépenses d'une entreprise;Participation à une association,Entrepreneur;Manager,Travail individuel;Entreprise,FIC
211,Bac+1,Économie;Mathématiques,16.43,12.95,9.47,0,17.14,0,0,14.77,15.71,0,0,8.87,Gestion financière,Finance;Business,Gestion d'un budget familial,Manager;Commercial,Bureau;Travail individuel;Entreprise;Administration,FIC
212,Baccalauréat S,Mathématiques;Gestion;Français;Physique,19.27,0,0,11.13,12.72,0,15.17,15.28,14.76,0,0,0,Gestion financière;Recherche pharmaceutique,Finance;Business,Gestion d'un budget familial,Entrepreneur;Manager,Travail individuel;Entreprise;Bureau,FIC
213,Bac+1,Économie;Gestion;Français;Histoire-Géographie;Informatique,14.0,9.22,0,0,15.47,0,0,19.33,10.95,15.47,10.24,8.71,Organisation;Gestion touristique,Business;Finance,Gestion d'un budget familial;Création d'un tableau financier,Manager;Comptable,Travail individuel;Entreprise;Bureau;Travail en équipe,FIC
214,Bac+3,Économie;Gestion;Mathématiques,17.2,14.57,14.82,9.27,12.72,11.7,11.73,17.91,13.18,0,0,0,Analyse financière;Organisation,Business;Finance;Sciences,Création d'un tableau financier,Manager;Commercial,Travail individuel;Bureau,FIC
215,Baccalauréat D,Mathématiques;Français;Économie,12.23,14.07,10.02,9.13,12.01,0,0,13.48,16.19,15.16,15.71,9.59,Organisation;Analyse financière,Business,Gestion d'un budget familial;Analyse des dépenses d'une entreprise;Projet personnel,Manager,Travail individuel;Entreprise;Bureau;Télétravail,FIC
216,Bac+1,Économie;Mathématiques;Français;Physique;Droit,19.52,0,0,0,13.57,13.57,0,14.58,12.12,0,0,10.91,Gestion financière;Organisation,Business,Création d'un tableau financier;Analyse des dépenses d'une entreprise,Entrepreneur;Manager;Chercheur,Entreprise;Travail individuel;Bureau,FIC
217,Bac+2,Gestion;Français;Économie,18.43,0,8.7,0,10.61,0,14.0,16.19,16.07,0,0,0,Analyse financière,Finance;Business,Création d'un tableau financier,Manager;Entrepreneur;Data Scientist,Travail individuel,FIC
218,Baccalauréat C,Économie;Français;Mathématiques;Physique,10.78,14.53,0,0,16.33,0,15.79,14.06,18.58,0,13.09,0,Organisation,Business;Droit,Analyse des dépenses d'une entreprise,Entrepreneur;Manager,Entreprise,FIC
219,Baccalauréat Technique,Gestion;Mathématiques,13.68,0,0,11.06,15.04,0,0,13.23,16.72,0,14.24,0,Comptabilité;Analyse financière;Architecture des ordinateurs,Finance;Technologie,Gestion d'un budget familial;Participation à une association,Comptable;Développeur logiciel,Entreprise;Administration,FIC
220,Bac+1,Gestion;Économie;Biologie;Technique,18.19,0,10.39,0,16.8,0,10.74,16.56,13.62,0,8.97,0,Comptabilité;Gestion financière;Organisation;Gestion d'exploitation,Finance;Communication,Gestion d'un budget familial,Manager,Bureau,FIC
221,Baccalauréat D,Économie;Français;Gestion;Mathématiques,13.27,13.5,0,11.14,16.95,14.35,0,16.9,15.9,0,0,0,Analyse financière;Gestion financière,Business;Agriculture,Analyse des dépenses d'une entreprise;Création d'un tableau financier,Manager;Comptable;Développeur logiciel,Bureau;Entreprise,FIC
222,Bac+3,Économie;Français;Mathématiques;Gestion;Physique,15.26,0,9.86,10.27,12.25,0,0,19.31,16.61,0,0,14.51,Analyse financière;Informatique industrielle,Finance;Business,Création d'un tableau financier;Participation à une association,Comptable;Entrepreneur,Travail individuel;Bureau;Entreprise,FIC
223,Bac+1,Mathématiques;Économie;Gestion,10.84,0,0,14.03,14.91,12.9,13.57,16.55,16.35,12.94,8.38,8.84,Organisation;Comptabilité;Automatisation,Finance;Business,Gestion d'un budget familial;Participation à une association,Manager,Entreprise;Travail individuel;Bureau,FIC
224,Bac+3,Mathématiques;Gestion;Français,18.51,0,11.57,12.22,16.44,0,13.85,12.54,12.15,0,0,0,Analyse financière;Gestion financière;Comptabilité;Management,Finance;Droit,Création d'un tableau financier;Gestion d'un budget familial,Comptable;Manager,Travail individuel;Entreprise,FIC
225,Baccalauréat C,Mathématiques;Gestion;Économie;Français;Anglais,15.53,9.31,14.96,0,14.83,0,15.15,11.25,16.01,15.42,11.45,12.02,Gestion financière;Comptabilité;Analyse financière;Analyse scientifique,Business,Gestion d'un budget familial;Création d'un tableau financier;Projet scolaire,Entrepreneur;Manager,Travail individuel;Entreprise,FIC
226,Baccalauréat C,Mathématiques;Gestion,14.53,0,15.06,0,14.2,14.59,0,13.74,14.09,0,8.02,15.26,Organisation;Gestion financière;Analyse financière,Finance,Gestion d'un budget familial;Participation à une association,Comptable,Entreprise;Bureau;Laboratoire,FIC
227,Bac+2,Mathématiques;Économie;Technique,13.94,0,8.14,0,12.77,0,0,15.1,16.33,0,12.37,0,Gestion financière;Analyse financière;Gestion commerciale,Business;Finance;Technologie,Gestion d'un budget familial,Entrepreneur,Entreprise;Bureau,FIC
228,Baccalauréat C,Gestion;Français;Mathématiques;Économie;Chimie,19.74,0,0,15.67,14.36,0,0,14.22,17.36,12.16,12.9,11.64,Gestion financière;Comptabilité,Finance;Business,Analyse des dépenses d'une entreprise;Gestion d'un budget familial,Comptable;Manager;Agronome,Entreprise,FIC
229,Baccalauréat D,Gestion;Français;Mathématiques,10.92,0,0,0,18.27,0,0,14.15,16.72,8.26,0,13.43,Organisation;Analyse financière,Business,Gestion d'un budget familial;Création d'un tableau financier,Entrepreneur;Comptable,Entreprise;Travail individuel,FIC
230,Bac+1,Économie;Mathématiques;Français,16.23,15.01,9.11,10.51,18.82,0,11.36,12.59,17.66,14.05,0,9.94,Gestion financière;Comptabilité;Analyse financière;Élevage,Finance;Business,Analyse des dépenses d'une entreprise;Création d'un tableau financier,Comptable,Bureau;Entreprise;Travail individuel,FIC
231,Bac+2,Économie;Mathématiques;Gestion,17.37,9.64,13.92,0,14.38,0,10.49,15.96,16.0,8.0,0,8.77,Comptabilité,Business;Finance,Création d'un tableau financier;Analyse des dépenses d'une entreprise,Entrepreneur,Travail individuel;Entreprise;Bureau,FIC
232,Baccalauréat D,Français;Mathématiques,14.71,0,0,0,14.74,0,0,15.77,14.67,11.4,11.66,0,Gestion financière;Programmation,Finance;Business,Analyse des dépenses d'une entreprise;Création d'un tableau financier,Manager,Bureau;Entreprise;Travail individuel,FIC
233,Baccalauréat Technique,Français;Gestion;Économie;Mathématiques,15.97,0,11.15,0,15.57,0,0,17.63,17.02,10.59,0,12.94,Comptabilité;Organisation;Technologies alimentaires,Finance;Business,Analyse des dépenses d'une entreprise;Création d'un tableau financier,Entrepreneur,Bureau,FIC
234,Bac+1,Mathématiques;Gestion;Français;Chimie;Droit,17.31,0,0,13.59,16.72,0,10.02,13.91,11.94,0,0,12.66,Comptabilité;Organisation;Gestion financière,Business,Création d'un tableau financier;Projet personnel,Comptable;Entrepreneur,Travail individuel;Entreprise,FIC
235,Bac+3,Mathématiques;Français;Chimie,13.99,0,11.99,12.32,13.83,14.63,10.86,15.95,14.13,12.14,0,12.95,Comptabilité;Gestion financière;Analyse financière,Finance;Business,Gestion d'un budget familial;Création d'un tableau financier,Comptable,Entreprise;Bureau;Travail individuel,FIC
236,Bac+1,Mathématiques;Français;Gestion;Économie,14.04,0,0,8.33,12.5,0,10.43,19.47,10.38,0,0,0,Comptabilité;Gestion financière,Business;Finance,Analyse des dépenses d'une entreprise;Gestion d'un budget familial;Projet scolaire,Manager;Comptable,Bureau,FIC
237,Bac+3,Français;Gestion,18.9,0,0,13.76,15.22,9.44,10.8,15.03,14.48,0,8.61,12.35,Gestion financière;Comptabilité,Business;Finance,Analyse des dépenses d'une entreprise,Entrepreneur;Comptable;Ingénieur,Travail individuel;Entreprise;Bureau;Environnement industriel,FIC
238,Bac+2,Français;Gestion;Mathématiques;Économie,11.27,14.11,0,14.69,14.27,15.72,14.84,12.39,14.29,11.03,0,0,Gestion financière;Comptabilité;Analyse financière,Business;Finance,Analyse des dépenses d'une entreprise;Création d'un tableau financier,Comptable,Travail individuel;Entreprise;Bureau,FIC
239,Baccalauréat D,Économie;Mathématiques;Français;Gestion,16.14,14.4,0,10.0,14.78,12.92,13.27,18.34,14.21,0,10.12,11.7,Comptabilité;Analyse financière;Gestion d'exploitation,Finance;Business;Communication,Analyse des dépenses d'une entreprise;Création d'un tableau financier,Comptable;Manager,Entreprise;Travail individuel;Bureau,FIC
240,Bac+1,Mathématiques;Gestion;Économie;Français;Technique;Biologie,14.39,15.61,0,0,13.9,0,0,11.32,12.94,8.62,12.56,0,Organisation;Comptabilité;Analyse financière,Finance,Création d'un tableau financier;Analyse des dépenses d'une entreprise,Manager;Entrepreneur,Entreprise;Bureau,FIC
241,Baccalauréat C,Français;Anglais;Droit,0,0,0,0,17.34,16.45,14.1,0,0,20,17.88,0,Utilisation des outils informatiques;Communication;Analyse juridique,Droit;Communication;Business,Participation à un débat juridique,Manager,Bureau;Administration,DTJA
242,Baccalauréat Technique,Histoire-Géographie;Droit;Anglais;Français;Physique;Chimie,0,0,11.35,0,15.52,16.72,12.68,10.08,10.51,12.38,18.49,0,Rédaction,Droit;Finance,Participation à un débat juridique;Recherche sur un problème juridique;Projet scolaire,Chercheur;Technicien,Travail individuel,DTJA
243,Baccalauréat Technique,Anglais;Français;Histoire-Géographie,10.35,14.6,12.87,13.78,14.59,19.8,0,0,14.06,17.5,17.0,0,Analyse juridique;Utilisation des outils informatiques;Communication,Business;Communication,Recherche sur un problème juridique;Rédaction d'un exposé juridique,Chercheur,Bureau;Administration,DTJA
244,Bac+3,Histoire-Géographie;Français;Anglais,0,0,12.15,0,14.14,12.24,11.51,0,15.34,19.32,18.55,9.65,Rédaction;Analyse juridique;Communication,Business;Droit;Communication,Rédaction d'un exposé juridique,Technicien;Manager,Administration;Bureau,DTJA
245,Bac+1,Droit;Histoire-Géographie,9.09,13.35,0,0,15.47,11.15,11.63,0,0,13.54,15.53,13.64,Communication;Analyse juridique;Utilisation des outils informatiques,Droit;Business;Communication,Participation à un débat juridique;Participation à une association,Manager,Administration;Travail individuel;Bureau;Entreprise,DTJA
246,Baccalauréat Technique,Histoire-Géographie;Français;Droit;Anglais,0,0,13.5,0,14.84,14.48,0,0,0,18.26,15.78,0,Utilisation des outils informatiques;Rédaction;Analyse juridique;Technologies numériques,Communication;Business,Recherche sur un problème juridique;Participation à un débat juridique,Technicien;Chercheur,Travail individuel;Bureau,DTJA
247,Bac+2,Droit;Anglais;Français;Technique,14.81,12.5,13.4,14.47,13.72,12.51,13.09,11.58,15.0,16.72,15.02,0,Analyse juridique,Communication;Informatique,Participation à un débat juridique;Recherche sur un problème juridique,Manager,Travail individuel,DTJA
248,Baccalauréat Technique,Anglais;Français,9.72,0,0,8.16,16.1,14.57,10.41,14.18,10.18,14.27,14.52,0,Analyse juridique;Utilisation des outils informatiques;Techniques de vente,Business;Communication;Droit;Tourisme,Recherche sur un problème juridique,Chercheur;Manager,Travail individuel;Bureau,DTJA
249,Bac+3,Français;Histoire-Géographie,0,11.44,11.25,10.28,16.5,16.76,0,0,0,16.32,13.58,0,Communication;Rédaction,Communication;Business;Droit,Recherche sur un problème juridique,Manager,Bureau,DTJA
250,Baccalauréat Technique,Histoire-Géographie;Français;Droit;Biologie,0,13.51,0,0,12.55,15.57,0,0,11.69,15.39,17.74,0,Analyse juridique;Rédaction;Accueil,Business,Recherche sur un problème juridique,Chercheur,Bureau;Administration;Télétravail,DTJA
251,Baccalauréat D,Français;Histoire-Géographie;Droit;Anglais,0,0,13.2,12.19,13.99,16.62,11.7,0,0,18.16,13.17,0,Communication,Communication;Agriculture,Participation à un débat juridique;Recherche sur un problème juridique;Projet scolaire,Manager;Chercheur;Ingénieur,Bureau;Travail individuel;Administration,DTJA
252,Bac+1,Français;Droit;Histoire-Géographie;Anglais,14.14,0,0,0,13.88,11.59,12.51,12.18,0,14.89,17.84,0,Utilisation des outils informatiques;Analyse juridique;Communication;Communication touristique,Droit,Recherche sur un problème juridique;Projet scolaire,Chercheur;Technicien;Ingénieur,Travail individuel;Administration,DTJA
253,Bac+1,Histoire-Géographie;Anglais;Gestion,14.71,8.63,0,9.33,15.05,12.82,13.56,8.96,0,14.71,19.05,0,Utilisation des outils informatiques;Analyse juridique,Communication,Recherche sur un problème juridique,Chercheur,Bureau;Administration,DTJA
254,Bac+2,Anglais;Français,0,15.97,0,8.46,13.57,16.43,0,0,14.0,16.34,12.29,0,Rédaction;Communication;Analyse juridique,Droit,Recherche sur un problème juridique,Manager;Ingénieur,Bureau;Travail individuel,DTJA
255,Baccalauréat S,Histoire-Géographie;Anglais;Droit,0,14.7,0,14.6,16.29,12.5,9.59,0,13.97,15.04,13.22,12.55,Analyse juridique;Communication;Rédaction;Analyse financière,Business;Informatique,Recherche sur un problème juridique,Technicien,Travail individuel,DTJA
